bmg_alloy,paper_sno,actual_d_max
Mg65.0Cu15.0Pd5.0Ag5.0Gd10.0,"[1, 5, 6, 7, 9]",10
Mg65.0Cu25.0Y5.0Gd5.0,"[1, 5, 6, 7, 9]",5
Mg65.0Ni5.0Cu20.0Gd10.0,"[1, 5, 6, 7, 9]",5
Mg65.0Cu15.0Y4.0Ag10.0Gd6.0,"[1, 5, 6, 7]",8
Mg65.0Cu15.0Y2.0Ag10.0Gd8.0,"[1, 5, 6, 7, 9]",9
Mg65.0Cu15.0Ag10.0Gd10.0,"[1, 5, 6, 7, 9]",7.5
Mg65.0Ni7.5Cu7.5Zn5.0Ag5.0Gd10.0,"[1, 5, 6, 7, 9]",11
Mg65.0Ni7.5Cu7.5Zn5.0Y2.5Ag5.0Gd7.5,"[1, 5, 6, 7, 9]",13
Mg65.0Ni7.5Cu7.5Zn5.0Y5.0Ag5.0Gd5.0,"[1, 5, 6, 7, 9]",14
Mg65.0Ni7.5Cu7.5Zn5.0Y7.5Ag5.0Gd2.5,"[1, 5, 6, 7, 9]",9.5
Mg58.5Cu30.5Y11.0,"[1, 5, 6, 7, 9]",9
Mg57.0Cu31.5Y9.2Nd2.3,"[1, 5, 6, 7, 9]",10
Mg57.0Cu31.5Y8.0Nd3.5,"[1, 5, 6, 7, 9]",12
Mg57.0Cu31.0Y6.6Nd5.4,"[1, 5, 6, 7, 9]",14
Mg65.5Cu25.4Gd9.0,"[1, 6]",6
Mg63.5Cu27.5Gd9.0,"[1, 5, 6, 7]",4
Mg61.5Cu29.5Gd9.0,"[1, 5, 6, 7, 9]",4
Mg63.0Cu27.0Gd10.0,"[1, 5, 6, 7, 9]",4
Mg61.0Cu29.0Gd10.0,"[1, 5, 6, 7, 9]",4
Mg59.0Cu31.0Gd10.0,"[1, 5, 6, 7, 9]",4
Mg64.5Cu24.5Gd11.0,"[1, 5, 6, 7, 9]",6
Mg62.5Cu26.5Gd11.0,"[1, 5, 6, 7, 9]",9
Mg60.5Cu28.5Gd11.0,"[1, 5, 6, 7, 9]",8
Mg58.5Cu30.5Gd11.0,"[1, 5, 6, 7, 9]",8
Mg61.0Cu28.0Gd11.0,"[1, 5, 6, 7, 9]",12
Al14.0Cu20.0La66.0,"[1, 5, 6, 7]",2
Al25.0Ni20.0La55.0,"[1, 5, 6, 7]",3
Al25.0Ni10.0Cu10.0La55.0,"[1, 5, 6, 7, 9]",5
Al25.0Co5.0Ni5.0Cu10.0La55.0,"[1, 5, 6, 7, 9]",9
Al14.0Ni12.0Cu12.0La62.0,"[1, 5, 6, 7]",12
Al14.0Cu24.0La62.0,"[1, 5, 6, 7, 9]",5
Al14.0Cu22.0Ag2.0La62.0,"[1, 5, 6, 7, 9]",5
Al14.0Cu20.0Ag4.0La62.0,"[1, 5, 6, 7, 9]",8
Al14.0Cu19.0Ag5.0La62.0,"[1, 5, 6, 7, 9]",5
Al14.0Cu18.0Ag6.0La62.0,"[1, 5, 6, 7]",5
Al14.0Cu17.0Ag7.0La62.0,"[1, 5, 6, 7, 9]",5
Al14.0Cu16.0Ag8.0La62.0,"[1, 5, 6, 7, 9]",5
Al16.0Ni5.0Cu15.0La32.0Ce32.0,"[1, 5, 6, 7, 9]",10
Al16.0Co3.0Ni5.0Cu12.0La32.0Ce32.0,"[1, 5, 6, 7, 9]",10
Al16.0Co5.0Ni5.0Cu10.0La32.0Ce32.0,"[1, 5, 6, 7, 9]",12
Al16.0Co8.0Ni5.0Cu7.0La32.0Ce32.0,"[1, 5, 6, 7, 9]",10
Al16.0Co10.0Ni5.0Cu5.0La32.0Ce32.0,"[1, 5, 6, 7]",10
Al20.0Cu20.0Ag5.0La55.0,"[1, 5, 6, 7]",4
Al17.5Cu20.0Ag7.5La55.0,"[1, 5, 6, 7, 9]",3
Al15.0Cu20.0Ag10.0La55.0,"[1, 5, 6, 7, 9]",2
Al25.0Cu15.0Ag5.0La55.0,"[1, 5, 6, 7, 9]",3
Al15.0Cu20.0Ag5.0La60.0,"[1, 5, 6, 7, 9]",5
Al12.5Cu20.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",6
Al10.0Cu20.0Ag5.0La65.0,"[1, 5, 6, 7]",5
Al12.5Fe2.5Cu17.5Ag5.0La62.5,"[1, 5, 6, 7, 9]",7
Al12.5Fe5.0Cu15.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",6
Al12.5Co2.5Cu17.5Ag5.0La62.5,"[1, 5, 6, 7, 9]",8
Al12.5Co5.0Cu15.0Ag5.0La62.5,"[1, 5, 6, 7, 9]",9
Si16.5Cu6.0Pd77.5,"[1, 5, 9, 6]",1.5
Si6.5Cu2.0Pd81.5,"[1, 6]",2
Si17.0Cu6.0Pd77.0,"[1, 5, 6]",2
Si16.5Cu10.0Pd73.5,"[1, 5, 9, 6]",2
Si16.5Cu12.0Pd71.5,"[1, 5, 9, 6]",2
P20.0Ni40.0Pd40.0,"[1, 5, 9, 6]",25
Si10.0P5.0Cu6.0Pd79.0,"[1, 5, 6]",5
Si10.0P5.0Cu5.0Pd79.0Ag1.0,"[1, 5, 9, 6]",4
Si10.0P5.0Cu4.0Pd79.0Ag2.0,"[1, 5, 9, 6]",5
Si10.0P5.0Cu3.0Pd79.0Ag3.0,"[1, 5, 9, 6]",5
Si10.0P5.0Cu2.0Pd79.0Ag4.0,"[1, 5, 9, 6]",7
Ti50.0Ni30.0Cu32.0Sn3.0,"[1, 6]",1
Be7.0Ti50.0Ni15.0Cu25.0Sn3.0,"[1, 5, 6, 7, 9]",2
Be7.0Ti45.0Ni15.0Cu25.0Zr5.0Sn3.0,"[1, 5, 6, 7, 9]",5
Be18.0Ti40.0Ni8.0Cu9.0Zr25.0,"[1, 5, 6, 7, 9]",8
Ti50.0Ni7.5Cu42.5,"[1, 7, 9, 6]",0.2
Ti47.5Ni7.5Cu42.5Zr2.5,"[1, 5, 6, 7, 9]",1.5
Ti42.5Ni7.5Cu42.5Zr2.5Hf5.0,"[1, 5, 6, 7, 9]",2.5
Be18.0Ti55.0Ni8.0Cu9.0Zr10.0,"[1, 5, 6, 7, 9]",6
Be18.0Ti50.0Ni8.0Cu9.0Zr15.0,"[1, 5, 6, 7, 9]",6
