bmg_alloy,paper_sno,actual_d_max
Mg27.3Ca27.2Cu45.5,"[1, 5, 6, 7]",1.5
Mg31.8Ca22.7Cu45.5,"[1, 5, 6, 7, 9]",1.25
Mg36.4Ca18.1Cu45.5,"[1, 5, 6, 7, 9]",2
Mg18.2Ca31.8Cu50.0,"[1, 5, 6, 7, 9]",2
Mg22.7Ca27.3Cu50.0,"[1, 5, 6, 7]",1.5
Mg18.2Ca27.3Cu54.5,"[1, 5, 6, 7, 9]",1
B19.2Si4.8Fe36.0Co36.0Nb4.0,"[1, 6]",2
B24.0Fe55.8Co14.2Nb6.0,"[1, 5, 9, 6]",2
B25.0Fe56.0Co13.4Nb5.5,"[1, 5, 9, 6]",2.5
B24.0Fe56.8Co14.2Nb5.0,"[1, 5, 9, 6]",2
B22.0Fe66.0Y6.0W6.0,"[1, 2, 5, 6, 9]",2
B22.0Fe67.0Y6.0W5.0,"[1, 2, 5, 6, 9]",3
B22.0Fe68.0Y6.0W4.0,"[1, 2, 5, 6, 9]",4
B22.0Fe69.0Y6.0W3.0,"[1, 2, 5, 6, 9]",4
B20.0Fe70.0Y3.0Nb4.0Hf3.0,"[1, 2, 5, 6, 9]",3.5
B22.0Fe70.0Y6.0W2.0,"[1, 2, 5, 6, 9]",3
B2.0C10.0P12.0Fe71.0Nb2.0Mo3.0,"[1, 5, 9, 6]",1
B20.0Fe71.0Y2.0Nb4.0Hf3.0,"[1, 2, 5, 6, 9]",4
B22.0Fe71.0Y6.0W1.0,"[1, 2, 5, 6, 9]",3
B2.0C10.0P12.0Fe71.0Nb3.0Mo2.0,"[1, 5, 6]",1
B2.0C10.0P12.0Fe71.0Nb1.0Mo4.0,"[1, 5, 9, 6]",2
B23.0Fe71.0Nb6.0,"[1, 2, 5, 6, 9]",1.5
B5.0C7.0Si3.3P8.7Fe72.0Ga4.0,"[1, 5, 9, 6]",2
B20.0Fe72.0Y1.0Nb4.0Hf3.0,"[1, 2, 5, 6, 9]",3
B20.0Fe73.0Nb4.0Hf3.0,"[1, 2, 6]",2
B5.0C7.0Si3.3P8.7Fe74.0Ga2.0,"[1, 6]",3
B5.0C7.0Si3.3P8.7Fe75.0Ga1.0,"[1, 2, 5, 6, 9]",3
B5.0C7.0Si3.3P8.7Fe76.0,"[1, 2, 6]",1
Al20.0Mn3.0Ni22.0Gd55.0,"[1, 5, 6, 7, 9]",2
Mg3.5Al10.5Cu24.0La62.0,"[1, 5, 6, 7, 9]",10
Mg3.2Al10.8Cu24.0La62.0,"[1, 5, 6, 7, 9]",10
Mg4.2Al9.8Cu24.0La62.0,"[1, 5, 6, 7, 9]",10
Mg50.0Ni30.0La20.0,"[1, 5, 6, 7, 9]",1
Mg57.0Ni26.0La17.0,"[1, 5, 6, 7, 9]",2
B0.5Mg60.0Ni23.6La15.9,"[1, 6]",2
B2.89Mg60.0Ni23.6La13.5,"[1, 6]",1
Mg60.0Ni23.6La16.4,"[1, 5, 6, 7]",2.5
Mg60.0Si0.25Ni23.6La16.1,"[1, 6]",1
Mg60.0Si0.5Ni23.6La15.9,"[1, 6]",1
Mg60.0Ni23.6Y0.25La16.1,"[1, 5, 6, 7, 9]",3.5
Mg60.0Si0.25Ni23.6Y0.25La15.9,"[1, 6]",2
Mg60.0Ni23.6Y0.5La15.9,"[1, 5, 6, 7, 9]",4
Mg60.0Si0.1Ni23.6Y0.5La15.8,"[1, 6]",1.5
Mg60.0Si0.5Ni23.6Y0.5La15.7,"[1, 6]",1
Mg60.0Ni23.6Y0.75La15.6,"[1, 5, 6, 7, 9]",4
Mg60.0Ni23.6Y1.0La15.4,"[1, 5, 6, 7]",3
Mg68.0Ni15.0Ag7.0Gd10.0,"[1, 5, 6, 7, 9]",4
Mg49.0Ni15.0Ag6.0Gd10.0,"[1, 6]",7
Mg69.0Ni15.0La16.0,"[1, 6]",1
Mg70.0Ni15.0Ag5.0Gd10.0,"[1, 5, 6, 7, 9]",5
Mg71.0Ni15.0Ag4.0Gd10.0,"[1, 5, 6, 7, 9]",4
Mg73.0Ni15.0Ag2.0Gd10.0,"[1, 5, 6, 7, 9]",3.5
Mg74.0Ni15.0Ag1.0Gd10.0,"[1, 5, 6, 7]",3
Mg75.0Ni15.0Gd10.0,"[1, 5, 6, 7, 9]",3
Ti43.1Ni9.06Cu36.2Zr9.59Sn1.96,"[1, 5, 6, 7, 9]",3
Ti44.1Ni7.06Cu37.0Zr9.8Sn2.0,"[1, 5, 6, 7, 9]",2
Al8.0Cu36.0Zr42.0Ag8.0Au6.0,"[1, 6]",15
Al8.0Fe6.0Cu36.0Zr42.0Ag8.0,"[1, 6]",4
Al8.0Cu36.0Zr42.0Ag8.0Hf6.0,"[1, 5, 6, 7]",15
Al8.0Cu36.0Zr42.0Nb6.0Ag8.0,"[1, 6]",4
Al8.0Ni6.0Cu36.0Zr42.0Ag8.0,"[1, 6]",25
Al8.0Cu36.0Zr42.0Pd6.0Ag8.0,"[1, 6]",20
Al8.0Ti6.0Cu36.0Zr42.0Ag8.0,"[1, 6]",4
Al8.0Cu36.0Zr44.0Ag8.0Au4.0,"[1, 6]",20
Al8.0Fe4.0Cu36.0Zr44.0Ag8.0,"[1, 6]",9
Al8.0Cu36.0Zr44.0Ag8.0Hf4.0,"[1, 5, 6, 7]",20
Al8.0Ni4.0Cu36.0Zr44.0Ag8.0,"[1, 6]",30
Al8.0Cu36.0Zr44.0Pd4.0Ag8.0,"[1, 6]",25
Al8.0Cu36.0Zr46.0Ag8.0Au2.0,"[1, 6]",20
Be10.0Al8.0Cu27.6Zr46.0Ag8.36,"[1, 5, 6, 7]",35
Al8.0Fe2.0Cu36.0Zr46.0Ag8.0,"[1, 6]",10
Al8.0Cu36.0Zr46.0Nb2.0Ag8.0,"[1, 5, 6, 7, 9]",10
Al8.0Ni2.0Cu36.0Zr46.0Ag8.0,"[1, 6]",25
Al8.0Cu36.0Zr46.0Pd2.0Ag8.0,"[1, 6]",30
Al8.0Ti2.0Cu36.0Zr46.0Ag8.0,"[1, 5, 6, 7, 9]",10
Al9.0Cu36.0Zr48.0Ag7.0,"[1, 6]",10.4
Ti14.0Ni20.0Cu17.0Zr49.0,"[1, 5, 6, 7, 9]",4
Ti17.0Ni20.0Cu14.0Zr49.0,"[1, 5, 6, 7, 9]",3
Al12.3Ni9.0Cu28.0Zr50.7,"[1, 6]",7
Al10.0Ti2.0Cu38.0Zr50.0,"[1, 6]",5
Al10.0Ni5.0Cu30.0Zr55.0,"[1, 6]",5.2
Al10.7Ni14.1Cu13.6Zr61.5,"[1, 5, 6, 7, 9]",5.5
Al12.1Ni17.4Cu7.95Zr62.5,"[1, 5, 6, 7, 9]",7.5
Al10.7Ni15.1Cu10.7Zr63.5,"[1, 5, 6, 7, 9]",6
Al11.4Ni16.3Cu9.3Zr63.0,"[1, 5, 6, 7]",6.5
Al10.1Ni14.2Cu11.7Zr64.0,"[1, 5, 6, 7]",5
Al8.7Ni11.9Cu14.4Zr65.0,"[1, 5, 6, 7, 9]",4
Be20.0Ti55.0Ni10.0Zr15.0,"[1, 6]",5
Al18.7Co25.0Zr56.2,"[1, 6]",3
Al9.0Fe4.5Cu23.0Zr63.5,"[1, 6]",6
Al9.0Fe4.5Cu23.0Zr62.0Hf1.5,"[1, 6]",8
Al9.0Fe4.5Cu23.0Zr62.0Hf3.0,"[1, 6]",10
Al9.0Fe4.5Cu23.0Zr59.0Hf4.5,"[1, 6]",8
Al9.0Fe4.5Cu23.0Zr57.5Hf6.0,"[1, 6]",6
Al12.0Cu36.0Zr48.0Ag4.0,"[1, 6]",3
Al10.0Cu36.0Zr48.0Ag6.0,"[1, 6]",7
Al6.0Cu36.0Zr48.0Ag10.0,"[1, 6]",10
Al4.0Cu36.0Zr48.0Ag12.0,"[1, 6]",6
Al2.0Cu36.0Zr48.0Ag14.0,"[1, 6]",2
Ti40.0Cu34.0Ga2.0Zr10.0Pd14.0,"[1, 6]",3
Ti40.0Cu32.0Ga4.0Zr10.0Pd14.0,"[1, 6]",3
Ti40.0Cu28.0Ga8.0Zr10.0Pd14.0,"[1, 6]",2
Ti40.0Cu26.0Ga10.0Zr10.0Pd14.0,"[1, 6]",2
Si13.3Cu20.2Ga6.7Pd2.4Ag5.8Au51.6,"[1, 6]",3
Si12.3Cu18.7Ga8.2Pd2.4Ag5.8Au52.6,"[1, 6]",2
Mg68.0Ca4.0Zn28.0,"[1, 6]",3.5
Cu26.0Ga4.0Ce70.0,"[1, 6]",3
Cu24.0Ga6.0Ce70.0,"[1, 6]",10
Cu20.0Ga10.0Ce70.0,"[1, 6]",10
Cu18.0Ga12.0Ce70.0,"[1, 6]",8
Cu15.0Ga15.0Ce70.0,"[1, 6]",3
Ni1.5Cu20.0Ga8.5Ce70.0,"[1, 6]",14
Ni3.0Cu18.5Ga8.5Ce70.0,"[1, 6]",10
Ni5.0Cu16.5Ga8.5Ce70.0,"[1, 6]",6
Ni8.5Cu13.0Ga8.5Ce70.0,"[1, 6]",3
Ni10.5Cu11.0Ga8.5Ce70.0,"[1, 6]",2
B6.0C15.0Cr6.0Fe59.0Mo14.0,"[1, 2, 6]",1.5
B6.0C15.0Cr20.0Fe47.0Y2.0Mo10.0,"[1, 2, 6]",5
B6.0C15.0Cr20.0Fe45.0Y2.0Mo10.0W2.0,"[1, 2, 6]",6
B6.0C15.0Cr20.0Fe43.0Y2.0Mo10.0W4.0,"[1, 2, 6]",8
B6.0C15.0Cr20.0Fe41.0Y2.0Mo10.0W6.0,"[1, 2, 6]",6
B5.0C10.0P10.0Fe40.0Ni35.0,"[1, 6]",1.5
B5.0C10.0P10.0Fe40.0Co35.0,"[1, 2, 6]",2
B5.0C10.0P10.0Fe40.0Co29.0Ni15.0,"[1, 6]",2.5
B4.0C4.0P12.0Cr7.0Fe70.0Mo3.0,"[1, 6]",1.5
B4.0C4.0P12.0Cr7.0Fe62.0Ni8.0Mo3.0,"[1, 6]",2
B4.0C4.0P12.0Cr7.0Fe55.0Ni15.0Mo3.0,"[1, 6]",2.5
B4.0C4.0P12.0Cr7.0Fe50.0Ni20.0Mo3.0,"[1, 6]",2
Al15.0Ni17.5Cu7.5Zr56.0Nb4.0,"[1, 6]",6
Al15.0Ni17.5Cu9.5Zr54.0Nb4.0,"[1, 6]",6
Al15.0Ni17.5Cu11.5Zr52.0Nb4.0,"[1, 6]",8
Al15.0Ni17.5Cu13.5Zr50.0Nb4.0,"[1, 6]",6
Al15.0Ni17.5Cu15.5Zr48.0Nb4.0,"[1, 6]",6
B12.0C9.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",2
B10.0C11.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",5
B8.0C13.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",8
B6.0C15.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",12
B4.0C17.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",6
Al16.0Co33.0Zr51.0,"[1, 6]",2
Al16.0Co32.0Zr52.0,"[1, 6]",3
Al16.0Co30.0Zr54.0,"[1, 6]",6
Al16.0Co29.0Zr55.0,"[1, 6]",7
Al16.0Co27.0Zr56.0,"[1, 6]",5
Al16.0Co28.0Zr58.0,"[1, 6]",2
Al9.0Ti1.5Fe4.5Cu23.0Zr62.0,"[1, 6]",6
Al9.0Ti3.0Fe4.5Cu23.0Zr60.5,"[1, 6]",10
Al9.0Ti4.5Fe4.5Cu23.0Zr59.0,"[1, 6]",8
Al9.0Ti6.0Fe4.5Cu23.0Zr57.5,"[1, 6]",3
Be26.0Ti27.0Fe6.0Cu10.0Zr31.0,"[1, 6]",13
Be26.0Al6.0Ti27.0Cu10.0Zr31.0,"[1, 6]",13
Be26.0Ti27.0Cu10.0Zr31.0Ag6.0,"[1, 6]",14
Be26.0Ti27.0Ni6.0Cu10.0Zr31.0,"[1, 6]",15
Be26.0Ti27.0Cr6.0Cu10.0Zr31.0,"[1, 6]",14
Be26.0Ti27.0V6.0Cu10.0Zr31.0,"[1, 6]",15
Be23.0Ti24.0Fe6.0Ni10.0Cu9.0Zr28.0,"[1, 6]",4
Be23.0Al6.0Ti24.0Ni10.0Cu9.0Zr28.0,"[1, 6]",9
Be23.0Ti24.0Ni10.0Cu9.0Zr28.0Ag6.0,"[1, 6]",14
Be23.0Ti24.0Cr6.0Ni10.0Cu9.0Zr28.0,"[1, 6]",6
Be23.0Ti24.0V6.0Ni10.0Cu9.0Zr28.0,"[1, 6]",7
Al14.0Ni24.0La62.0,"[1, 6]",2
Al4.0Cu48.0Zr48.0,"[1, 6]",2
Al4.0Cu45.0Ga3.0Zr48.0,"[1, 6]",5
Al4.0Cu40.0Zr48.0Ag8.0,"[1, 6]",9
Al4.0Cu46.5Zr48.0Nb1.5,"[1, 6]",5
Al4.0Ni0.5Cu47.5Zr48.0,"[1, 6]",3
Al4.0V0.5Cu47.5Zr48.0,"[1, 6]",2
Al4.0Co0.3Cu47.7Zr48.0,"[1, 6]",3
Al4.0Cr0.5Cu47.5Zr48.0,"[1, 6]",3
Al4.0Fe0.5Cu47.5Zr48.0,"[1, 6]",3
Be20.0Ti20.0Co20.0Zr20.0Hf20.0,"[1, 6]",3
Be20.0Ti20.0Ni2.5Cu17.5Zr20.0Hf20.0,"[1, 5, 6]",12
Be20.0Ti20.0Ni5.0Cu15.0Zr20.0Hf20.0,"[1, 5, 6]",15
Be20.0Ti20.0Ni7.5Cu12.5Zr20.0Hf20.0,"[1, 5, 6]",20
Be20.0Ti20.0Ni10.0Cu10.0Zr20.0Hf20.0,"[1, 5, 6]",25
Be20.0Ti20.0Ni12.5Cu7.5Zr20.0Hf20.0,"[1, 5, 6]",30
Be20.0Ti20.0Ni15.0Cu5.0Zr20.0Hf20.0,"[1, 5, 6]",20
Be20.0Ti20.0Ni17.5Cu2.5Zr20.0Hf20.0,"[1, 5, 6]",15
Al7.0Ni10.5Cu10.5Pr72.0,"[9, 7]",1.5
Al60.0Cu40.0,[9],0
Fe14.0Cu55.0Ag31.0,[9],0
Ti50.0Ni50.0,[9],0
Al8.0Ni6.0Cu30.0Zr48.0Ag8.0,"[9, 5, 7]",25
Al85.0Fe3.0Ni12.0,[9],0
B22.0Fe72.0Y4.0Ta2.0,"[9, 2, 5]",4
B8.0Mn5.0Fe87.0,[9],0
C20.0Co65.0W15.0,[9],0
Mg40.0Al20.0Zn40.0,[9],0
Al25.0Co20.0Pr55.0,"[9, 5, 7]",5
B81.5Si6.0Fe12.5,[9],0
Al88.0Mn4.0Co8.0,[9],0
Al77.0V3.0Cu20.0,[9],0
Ti50.0Ni37.0Cu13.0,[9],0
Si25.0Co75.0,[9],0
B2.0Cr16.0Fe82.0,[9],0
Cu55.0Ga2.5Zr42.5,"[9, 5, 7]",1
Al24.0Co20.0Y20.0Tb36.0,"[9, 5, 7]",5
Mg84.5Mn8.0Y7.5,[9],0
B12.0C4.0Co84.0,[9],0
Si2.0Ti9.0Ni59.0Zr20.0Nb7.0Sn3.0,"[9, 5]",2
B2.0C10.0P12.0Cr3.0Fe63.0Mo10.0,"[9, 2, 5]",2.5
Mg20.0Cu50.0La30.0,[9],0
Al16.3Ni11.6Cu11.6La60.5,"[9, 7]",8
Al50.0Ni40.0Zr10.0,[9],0
Al94.0Co4.0Ni2.0,[9],0
B30.0Mo70.0,[9],0
Al60.0V15.0Cu25.0,[9],0
Mg32.0Al54.0Pd14.0,[9],0
Si10.0Ni90.0,[9],0
Al94.0Mn4.0Ce2.0,[9],0
B14.4Si9.6Fe72.0Nb4.0,[9],1.5
Al70.0Cu15.0Ce15.0,[9],0
Al91.0Fe1.0Ni8.0,[9],0
Al18.4Ni13.1Cu13.1La55.4,"[9, 7]",2
Mg30.0Cu20.0La50.0,[9],0
B19.2Si4.8Fe50.4Co21.6Nb4.0,[9],3.5
Al90.0Fe10.0,[9],0
Al70.0Si5.0Cr25.0,[9],0
Fe37.0Cu63.0,[9],0
C20.0Co70.0W10.0,[9],0
Ni40.0Cu40.0Zr20.0,[9],0
B8.0Fe77.0Mo15.0,[9],0
B22.0Fe72.0Y3.0W3.0,"[9, 5]",1
B5.0Fe80.0Nb15.0,[9],0
Mg75.0Cu15.0La10.0,[9],0
B19.2Si4.8Fe14.4Co57.6Nb4.0,[9],2.5
Mg10.0Ca70.0Zn20.0,"[9, 7]",0.5
C15.0Si15.0Ni70.0,[9],0
B10.0Cr8.0Fe82.0,[9],0
Al50.0Ni40.0La10.0,[9],0
Ti20.0Cu80.0,[9],0
Al10.0Ti70.0Cu20.0,[9],0
Al92.0Cr8.0,[9],0
B6.0C15.0Fe58.2Co6.47Mo14.0Er0.25,[9],3
Al8.0Cu32.0Zr48.0Ag8.0Au4.0,"[9, 5, 7]",20
Al88.0Co1.0Ni11.0,[9],0
Al8.0Cu34.0Zr48.0Ag8.0Au2.0,"[9, 5, 7]",20
B19.4Si3.88Fe69.8Y3.0Nb3.88,[9],4
B22.0C8.0Ni70.0,[9],0
B10.0Cr5.0Fe85.0,[9],0
C10.0Si5.0Ni85.0,[9],0
B5.0Fe83.0Nb12.0,[9],0
P6.0Cu85.0Ag9.0,[9],0
Al12.5Ni12.5Cu10.0Ce65.0,"[9, 5, 7]",3
B8.0Cr14.0Fe78.0,[9],0
Al45.0Si35.0Cr20.0,[9],0
B4.0Cr5.0Fe91.0,[9],0
Mg65.0Cu25.0Tb10.0,"[9, 5, 7]",5
B24.0Ni76.0,[9],0
P9.0Cu80.5Ag10.5,[9],0
C20.0Fe64.0W16.0,[9],0
B6.0C15.0Cr15.0Fe49.0Mo14.0Er1.0,"[9, 2, 5]",6
Li8.62Mg7.38Ca65.0Zn19.0,"[9, 5]",2
Si25.0Ti25.0Nb50.0,[9],0
Mg60.0Al10.0Zn30.0,[9],0
Al84.0Fe2.0Ni14.0,[9],0
Al70.0Ni10.0Y20.0,[9],0
Fe20.0Cu49.0Ag31.0,[9],0
Ni50.0Nd50.0,[9],0
C2.5P12.5Fe85.0,[9],0
Cu87.0Ag10.0Ce3.0,[9],0
Mg90.0Nd10.0,[9],0
Al86.0Mn2.0Co12.0,[9],0
Be45.0Ti55.0,[9],0
Al70.0Ni10.0Ce20.0,[9],0
B8.0Fe87.0Nb5.0,[9],0
B8.0Mn3.0Fe89.0,[9],0
Al75.0Ni10.0La15.0,[9],0
Al14.6Ni10.4Cu10.4La64.6,"[9, 7]",5
Fe37.0Cu42.0Ag21.0,[9],0
P24.0Ni75.0Cu1.0,[9],0
Mg50.0Y40.0Ag10.0,[9],0
C16.0Fe80.0W4.0,[9],0
Mg13.0Ca60.0Cu27.0,"[9, 5, 7]",1
Mg15.0Ca55.0Cu30.0,"[9, 5, 7]",3
Al7.0Cu46.0Y10.0Zr37.0,"[9, 5, 7]",4
Al82.0Sm18.0,[9],0
Al4.0Cu90.0Nd6.0,[9],0
Cu59.0Ag40.0Ce1.0,[9],0
Al2.0Cu90.0Ce8.0,[9],0
Al80.0Ni5.0Gd15.0,[9],0
Ni10.0Cu70.0Zr20.0,[9],0
Al8.0Fe4.0Cu32.0Zr48.0Ag8.0,"[9, 5]",5
Al25.0Co20.0La55.0,"[9, 5, 7]",5
B8.0Cr22.0Fe70.0,[9],0
Al61.0Si18.0Cr21.0,[9],0
B25.0Si2.5Ni72.5,[9],0
Al12.0Cu82.0Nd6.0,[9],0
P25.0Ni60.0Pt15.0,[9],0
Al10.0La90.0,[9],0
Cu62.0Ag35.0Ce3.0,[9],0
Al10.0Ni12.5Cu15.5Nb5.0Ce57.0,"[9, 5, 7]",2
Al30.0Ca60.0Ag10.0,"[9, 5, 7]",2
Al10.0Ni10.0Cu10.0Nb5.0Ce65.0,"[9, 5, 7]",5
P21.5Co9.0Ni69.5,[9],0
Si12.0Ti58.0Nb30.0,[9],0
Si2.0Ti13.0Ni59.0Zr17.0Nb6.0Sn3.0,"[9, 5]",3
Al20.0Ti80.0,[9],0
Al8.0Cu30.0Zr48.0Ag8.0Au6.0,"[9, 5, 7]",15
P22.0Co7.0Ni71.0,[9],0
B2.0C19.0Cr6.0Fe52.6Co5.85Mo14.0Er0.5,[9],2
Al20.0Ti70.0Cu10.0,[9],0
Al6.0Cu86.0Ce8.0,[9],0
Al15.0Ni15.0Cu10.0Ce60.0,"[9, 5, 7]",3
Be20.0Zr80.0,[9],0
C14.0Co76.0Mo10.0,[9],0
B5.88C12.7Al2.0Cr9.8Fe58.8Mo8.82Er1.96,[9],8
Al25.0Zr75.0,[9],0
C5.0Si20.0Ni75.0,[9],0
Si20.0Ti55.0Ni25.0,[9],0
B6.0Fe82.0Mo12.0,[9],0
Al90.0Mn4.0Co6.0,[9],0
Al65.0Fe20.0Ce15.0,[9],0
Cu85.0Ag10.0Ce5.0,[9],0
B10.0Cr10.0Fe80.0,[9],0
Mg90.0Ni5.0Nd5.0,[9],0
C10.0Fe74.0W16.0,[9],0
P20.0Ni32.0Pt48.0,[9],0
C5.0Si10.0Ni85.0,[9],0
Al84.0Fe8.0Ni8.0,[9],0
B4.0Fe84.0Mo12.0,[9],0
Al2.0Cu88.0Ce10.0,[9],0
Al91.0Co2.0Ni7.0,[9],0
Si25.0Ti75.0,[9],0
B10.0Al12.0Co78.0,[9],0
Si2.0Ti11.0Ni59.0Zr20.0Nb5.0Sn3.0,"[9, 5]",2
B12.5Si7.0Co80.5,[9],0
Mg20.0Ni10.0Nd70.0,[9],0
Cu53.0Ag45.0Ce2.0,[9],0
C6.0Fe90.0W4.0,[9],0
Mg30.0Ca50.0Cu20.0,"[9, 5, 7]",2
C18.0Ni54.0Mo28.0,[9],0
Mg40.0Ni40.0Ce20.0,[9],0
Al2.0Cu90.0Nd8.0,[9],0
Al92.0Fe6.0Co2.0,[9],0
Si30.0Ti40.0Ni30.0,[9],0
Si2.0Ti11.0Ni59.0Zr16.0Nb9.0Sn3.0,"[9, 5]",2
Si2.0Ti16.0Ni59.0Zr15.0Nb5.0Sn3.0,"[9, 5]",2
Ni5.0Cu20.0Zr75.0,[9],0
B8.0Fe87.0Cu5.0,[9],0
C5.0Co80.0W15.0,[9],0
Mg22.5Ca50.0Cu27.5,"[9, 5, 7]",10
Mg17.5Ca62.5Zn20.0,"[9, 5, 7]",10
P19.0Co14.0Ni67.0,[9],0
Mg25.0Ca65.0Cu10.0,"[9, 7]",0.5
C10.0Fe82.0W8.0,[9],0
Al15.0Fe56.7Tb28.3,[9],0
Mg25.0Ca60.0Cu15.0,"[9, 5, 7]",2
B10.0C15.0Ni75.0,[9],0
Be2.0B5.88C12.7Cr9.8Fe58.8Mo8.82Er1.96,[9],8
Fe46.0Cu54.0,[9],0
Al80.0Ni5.0Y15.0,[9],0
Be30.0Si10.0Ti60.0,[9],0
B14.0Al4.0Co82.0,[9],0
B8.0C13.0Cr15.0Fe49.0Mo14.0Er1.0,"[9, 2, 5]",4
Mg15.0Ca70.0Zn15.0,"[9, 7]",0.5
Mg38.5Ca15.4Cu7.7Ag38.4,"[9, 7]",0.5
B19.2Si4.8Fe57.6Co14.4Nb4.0,[9],2.5
Al80.0Cr10.0Ce10.0,[9],0
B19.2Si4.8Fe72.0Nb4.0,[9],2
Al25.0Co20.0Ho55.0,"[9, 5, 7]",3
Al80.0Co5.0Ce15.0,[9],0
Al75.0Ni10.0Gd15.0,[9],0
Mg19.0Ca47.0Cu27.0Zn7.0,"[9, 5, 7]",6
Al85.0Si7.0Fe8.0,[9],0
C20.0Fe70.0W10.0,[9],0
Al10.0Ni70.0Zr20.0,[9],0
B20.0Mo80.0,[9],0
Al90.0Si5.0Cr5.0,[9],0
Fe42.0Cu41.0Ag17.0,[9],0
B22.3Fe66.9Mo3.72Dy7.0,[9],2
Al86.0Co3.0Ni11.0,[9],0
Mg80.0Al10.0Zn10.0,[9],0
B6.0C10.0Cr10.0Fe60.0Ni3.0Mo9.0Er2.0,"[9, 2, 5]",8
Al7.5Ni10.0Cu7.5Zr65.0Pd10.0,"[9, 5]",6
C18.0Fe68.0W14.0,[9],0
Si2.0Ti16.0Ni59.0Zr13.0Nb7.0Sn3.0,"[9, 5]",2
Cu57.5Ga5.0Zr37.5,"[9, 5, 7]",1
Si2.0Ti13.0Ni59.0Zr18.0Nb5.0Sn3.0,"[9, 5]",2
P6.5Cu84.5Ag9.0,[9],0
Al10.0Ti80.0Cu10.0,[9],0
Mg45.5Ca9.0Cu45.5,[9],0
Al91.0Fe6.0Ni3.0,[9],0
Al94.0Mn2.0Co4.0,[9],0
Al80.0Mn8.0Ni12.0,[9],0
Al17.9Ni12.8Cu12.8La56.5,"[9, 7]",2
Al85.0Co1.0Ni14.0,[9],0
Ti20.0Ni30.0Cu50.0,[9],0
B4.0Mn1.0Fe95.0,[9],0
Al16.6Ni11.9Cu11.9La59.6,"[9, 7]",8
B14.0C2.0Ni84.0,[9],0
Al86.0Fe7.0Ni7.0,[9],0
Al62.5Fe12.0Ce25.5,[9],0
C10.0Si22.5Ni67.5,[9],0
Cu54.0Zr36.0Ag10.0,"[9, 5, 7]",6
Al40.0Cu30.0La30.0,[9],0
Mg20.0Ca55.0Cu25.0,"[9, 5, 7]",2
B6.0Fe76.0Mo18.0,[9],0
Mg85.0Ni5.0La10.0,[9],0
Al88.7Ca1.25Ni10.0,[9],0
Mg90.0Ca10.0,[9],0
C15.0Cr10.0Fe75.0,[9],0
Al90.0Co5.0Ni5.0,[9],0
Be10.0Zr90.0,[9],0
C18.0Ni62.0Mo20.0,[9],0
Ti35.0Ni65.0,[9],0
Al19.4Co19.4Cu4.85Zr53.3Ag3.0,"[9, 7]",16
P20.0Cr80.0,[9],0
Si15.0Ti35.0Nb50.0,[9],0
B10.0Al4.0Co86.0,[9],0
Al25.0Co20.0Dy55.0,"[9, 5, 7]",3
C10.0Ni58.0Mo32.0,[9],0
Mg50.0Al10.0Zn40.0,[9],0
Al8.0Cu82.0Nd10.0,[9],0
Al10.0Ni80.0La10.0,[9],0
Al40.0Cu20.0La40.0,[9],0
Ti40.0Ni40.0Cu20.0,[9],0
B3.0C18.0Cr6.0Fe52.6Co5.85Mo14.0Er0.5,[9],3
Mg22.0Al48.0Pd30.0,[9],0
B1.0Cu20.0Zr79.0,[9],0
B8.0Fe91.0Ni1.0,[9],0
Mg71.0Ni18.0La11.0,"[9, 7]",0.5
B4.0C4.0Si3.0P9.0Fe76.0Mo4.0,[9],4
B20.0Fe79.0Cu1.0,[9],0
Ti9.8Cu58.8Y2.0Zr29.4,"[9, 7]",5
Al80.0Ni5.0Ce15.0,[9],0
Mg30.0Ni10.0Nd60.0,[9],0
Mg89.0Cu1.0Y10.0,[9],0
B14.0Fe83.0Cu3.0,[9],0
B10.0Fe75.0Ni15.0,[9],0
Mg30.8Ca30.8Ag38.4,"[9, 7]",0.5
Al40.0Ti60.0,[9],0
Ti90.0Ni5.0Cu5.0,[9],0
Fe50.0Ag50.0,[9],0
Mg60.0Cu20.0Ce20.0,[9],0
C10.0P7.5Fe82.5,[9],0
Al94.0Fe6.0,[9],0
Al75.0Co15.0Ce10.0,[9],0
B18.0C6.0Ni76.0,[9],0
Si9.0Zr61.0Nb30.0,[9],0
B4.0Cr12.0Fe84.0,[9],0
Si88.0Ti2.0Zr10.0,[9],0
B22.0Al24.0Ni54.0,[9],0
Al90.0Fe1.0Ni9.0,[9],0
Al88.0Fe6.0Co6.0,[9],0
Al30.0Ti50.0Cu20.0,[9],0
Al87.0Fe4.0Co9.0,[9],0
Al94.0Co2.0Ce4.0,[9],0
B30.0Si10.0Mo60.0,[9],0
Al86.0Co2.0Ni12.0,[9],0
Al60.0Ni20.0Ce20.0,[9],0
Al9.7Fe4.85Cu22.3Zr60.1Ag3.0,"[9, 7]",10
Al30.0Zr70.0,[9],0
