bmg_alloy,paper_sno,actual_d_max
Al89.0Cr3.0Ce8.0,[9],0
B22.0Fe70.0Ni2.0Y6.0,"[1, 2, 5, 6, 9]",2
Al14.0Cu18.0Ag6.0La62.0,"[1, 5, 6, 7]",5
B20.0Si4.0Fe71.6Cu0.4Nb4.0,[2],1.5
B4.0Fe84.0Mo12.0,[9],0
Al13.0Ni9.75Cu29.2Hf48.0,"[1, 5, 6, 7]",10
Al98.0Mn2.0,[9],0
B23.0Fe66.0Nb6.0Er5.0,[2],4
Mg15.4Ca23.1Cu7.7Ag53.8,[7],0.5
B4.0C4.0Si2.5P10.0Fe66.0Ni10.0Mo3.5,[2],4
Al4.0Cu48.0Zr44.0Ag4.0,"[1, 6]",10
Mg10.0Ca60.0Zn30.0,"[9, 7]",0.5
Ti21.0Ni34.0Zr45.0,"[9, 7]",0.68
Al10.0Cu19.0Zn1.0Ce70.0,"[1, 5, 6, 7]",1
Al6.0Cu36.0Zr48.0Ag10.0,"[1, 6]",10
Si1.0Sc2.0Ti45.0Fe2.5Cu40.0Zr7.5Sn2.0,[5],6
Al15.0Ni17.5Cu11.5Zr52.0Nb4.0,"[1, 6]",8
B18.0Ti1.5Fe77.0Zr3.5,[2],1
Ti10.0Cu43.0Zr40.0Ag7.0,"[1, 5, 6, 7, 9]",7
Al25.0Co20.0La55.0,"[9, 5, 7]",5
B15.0Cr2.0Fe61.0Co5.0Y2.0Zr8.0Mo7.0,"[1, 2, 5, 6, 9]",5
B8.0Fe87.0Nb5.0,[9],0
B6.0C15.0Fe64.5Mo14.0Dy0.5,[2],2
B6.7C6.9Al2.1Si2.5P8.8Cr2.2Fe68.3Mo2.5,"[1, 2, 5, 6, 9]",4
Si2.0Ti9.0Ni59.0Zr20.0Nb7.0Sn3.0,"[9, 5]",2
Si16.5Fe15.0Pd68.5,[9],0
B10.0C15.0Cr15.0Fe45.0Mo15.0,[2],2.5
Mg22.7Ca36.4Cu40.9,"[1, 5, 6, 7]",5
Al4.0Fe0.5Cu47.5Zr48.0,"[1, 6]",3
B23.0Fe56.8Co14.2Nb6.0,[9],2
Be24.0Fe8.0Cu12.0Zr48.0Nb8.0,"[1, 5, 6, 7, 9]",8
Si2.0Ti13.0Ni59.0Zr15.0Nb8.0Sn3.0,"[9, 5]",2
B24.0Fe56.8Co14.2Nb5.0,"[1, 5, 9, 6]",2
Al70.0Si15.0Cr15.0,[9],0
Ti50.0Ni7.5Cu42.5,"[1, 7, 9, 6]",0.2
B2.5C7.5P10.0Fe69.0Ni5.0Mo6.0,[2],5
B23.0Fe69.1Mo3.84Dy4.0,[9],1
Mg65.0Cu15.0Y2.0Ag10.0Gd8.0,"[1, 5, 6, 7, 9]",9
Mg71.0Ni18.0La11.0,"[9, 7]",0.5
B6.0C15.0Cr15.0Fe42.0Co6.0Mo14.0Tm2.0,"[1, 6]",12
Cu45.0Zr15.0Ag10.0Hf30.0,"[1, 5, 6, 7, 9]",2
Mg7.7Ca30.8Cu7.7Ag53.8,"[9, 7]",0.3
Ti40.0Cu34.0Zr10.0Pd16.0,"[1, 5, 6, 7, 9]",4
Al4.0Cu45.0Ga3.0Zr48.0,"[1, 6]",5
Al87.0Fe6.0Ni7.0,[9],0
Be23.0Ti24.0V6.0Ni10.0Cu9.0Zr28.0,"[1, 6]",7
Mg95.0Zn5.0,[9],0
B6.0C8.0P10.0Cr2.0Fe65.0Mo9.0,"[9, 2, 5]",2.5
C7.0P13.0Fe70.0Co10.0,[2],2.5
Al14.0Ni8.0Cu8.0La70.0,[7],0.5
Al45.0Si35.0Cr20.0,[9],0
Al10.0Ti5.0Ni8.0Cu20.0Zr57.0,"[1, 5, 6, 7]",10
Al86.0Fe4.0Co10.0,[9],0
B5.5C7.0Al2.0Si3.3P8.7Cr2.3Fe63.7Co5.0Mo2.5,[2],5
B5.5C6.0Al1.0Si3.3P8.7Fe74.5Cu1.0,[2],2
Mg25.0Ca60.0Zn15.0,"[9, 5, 7]",1
Li8.62Mg7.38Ca65.0Zn19.0,"[9, 5]",2
B18.0Fe62.0Cu20.0,[9],0
Mg4.2Al9.8Cu24.0La62.0,"[1, 5, 6, 7, 9]",10
B6.0C14.0Cr14.0Fe50.0Mo14.0Dy2.0,[2],4
Al12.0Cu36.0Zr48.0Ag4.0,"[1, 6]",3
B5.0C7.0Si3.3P8.7Cr1.0Fe75.0,[2],2
Be28.0Ti41.0Cu6.0Zr25.0,[5],15
B20.0Fe70.0Y3.0Nb4.0Hf3.0,"[1, 2, 5, 6, 9]",3.5
B5.5C7.0Al2.0Si3.3P8.7Cr2.3Fe71.2,[2],3
Mg54.0Cu26.5Ag8.5Gd11.0,[5],25
B12.0C4.0Co84.0,[9],0
B8.0Cr14.0Fe78.0,[9],0
Al3.0Ni12.5Cu12.5Pr72.0,"[9, 7]",1.5
B4.0C14.0Cr16.5Fe43.0Co4.5Y1.5Mo16.5,[2],10
B22.0Fe72.0Zr2.4Nb3.6,[2],1.5
Mg87.5Ca7.5Zn5.0,[9],0
C18.0Fe68.0W14.0,[9],0
B4.0C4.0Si3.0P10.0Fe77.0Mo2.0,"[1, 2, 5, 6, 9]",2.5
Mg65.0Cu20.0Zn5.0Y10.0,"[9, 5, 7]",1
Al14.6Ni10.4Cu10.4La64.6,"[9, 7]",5
